h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon,__file,tau_end,vi_context,source
Q1010526,Khúc Hạo,bornIn,Q3031628,Ninh Giang,860.0,,,20.75007,106.33329,historical_figures.csv,,,
Q959607,Nguyễn Phúc Bảo Long,bornIn,Q36167,Huế,1936.0,,,16.456111111111,107.57638888889,historical_figures.csv,,,
Q711441,Trần Anh Tông,bornIn,Q1858,Hà Nội,1276.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1073424,Huy Cận,bornIn,Q1749724,Vũ Quang,1919.0,,,18.3375,105.45,historical_figures.csv,,,
Q1033947,Lê Chân Tông,bornIn,Q1858,Hà Nội,1630.0,,,21.0245,105.84117,historical_figures.csv,,,
Q980927,Trần Quang Hải,bornIn,Q185682,Liên bang Đông Dương,1944.0,,,21.033333333333,105.85,historical_figures.csv,,,
Q1006267,Thích Trí Quang,bornIn,Q1877,Đồng Hới,1924.0,,,17.483333333333,106.6,historical_figures.csv,,,
Q707287,Phan Khắc Sửu,bornIn,Q7333405,Vĩnh Long,1905.0,,,10.166666666667,106.0,historical_figures.csv,,,
Q1006271,Thích Huyền Quang,bornIn,Q36693,Bình Định,1919.0,,,14.166666666667,109.0,historical_figures.csv,,,
Q1049682,Nguyễn Phúc Thuần,bornIn,Q1827039,Đàng Trong,1754.0,,,,,historical_figures.csv,,,
Q699904,Ngô Quyền,bornIn,Q1858,Hà Nội,897.0,,,21.0245,105.84117,historical_figures.csv,,,
Q647889,Cường Để,bornIn,Q36167,Huế,1882.0,,,16.456111111111,107.57638888889,historical_figures.csv,,,
Q855703,Mạc Thái Tổ,bornIn,Q72818,Hải Phòng,1483.0,,,20.8,106.66666666667,historical_figures.csv,,,
Q838128,Năm Cam,bornIn,Q1854,Thành phố Hồ Chí Minh,1948.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q902692,Nguyễn Phan Long,bornIn,Q1854,Thành phố Hồ Chí Minh,1889.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q997558,Mạc Cửu,bornIn,Q1209167,Lôi Châu,1655.0,,,20.91471,110.08058,historical_figures.csv,,,
Q983685,Dương Hồng Sơn,bornIn,Q36587,Nghệ An,1982.0,,,19.333333333333,104.83333333333,historical_figures.csv,,,
