h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q7022883,Nguyễn Minh Thuyết,bornIn,Q1858,Hà Nội,1948,,,21.0245,105.84117
Q1678059,Giacôbê Nguyễn Văn Mầu,bornIn,Q2202401,Bà Rịa,1914,,,10.4990423,107.167469
Q1089003,Chu Hoàng Diệu Linh,bornIn,Q1858,Hà Nội,1994,,,21.0245,105.84117
Q705534,Phan Huy Quát,bornIn,Q10826143,Thạch Châu,1911,,,18.437222222222,105.88722222222
Q10788675,Lệ Thi,bornIn,Q33304,Quảng Ngãi,1925,,,15.0,108.66666666667
Q711858,Trần Duệ Tông,bornIn,Q1858,Hà Nội,1337,,,21.0245,105.84117
Q1653599,Vũ Thị Trang,bornIn,Q36367,Bắc Giang,1992,,,21.333333333333,106.43333333333
Q1450861,Phanxicô Xaviê Lê Văn Hồng,bornIn,Q1320413,Quảng Trị,1940,,,16.751162,107.185691
Q1387073,Nguyễn Văn Lém,bornIn,Q105076326,Sài Gòn,1933,,,10.802222222222,106.69694444444
Q1156424,Hằng Phương,bornIn,Q725063,Điện Bàn,1908,,,15.888472222222,108.25456666667
Q271847,Thích Quảng Đức,bornIn,Q10834109,Vạn Khánh,1897,,,12.768333333333,109.25444444444
Q1111882,Lê Văn Hưu,bornIn,Q5295770,Đông Sơn,1230,,,19.79742,105.72465
Q353687,Phạm Tuân,bornIn,Q10810909,Quốc Tuấn,1947,,,20.47527778,106.4333333
Q10788093,Lý Lan,bornIn,Q524553,Thủ Dầu Một,1957,,,11.004166666667,106.65833333333
Q10788228,Lư Nhất Vũ,bornIn,Q36866,Bình Dương,1936,,,11.166666666667,106.66666666667
Q1320534,Phạm Văn Trà,bornIn,Q1924544,Quế Võ,1935,,,21.146111111111,106.17305555556
Q10788404,Lương Văn Can,bornIn,Q1858,Hà Nội,1854,,,21.0245,105.84117
Q964924,Thích Quảng Độ,bornIn,Q36681,Thái Bình,1928,,,20.5,106.33333333333
Q3248362,Lê Quang Đỉnh,bornIn,Q800154,Hà Tiên,1968,,,10.38333333,104.48333333
Q1354916,Nguyễn Tường Tam,bornIn,Q3031197,Cẩm Giàng,1906,,,20.95,106.22083333333
Q353687,Phạm Tuân,bornIn,Q10810909,Quốc Tuấn,1947,,,20.475277777778,106.43416666667
Q233383,Phan Thị Kim Phúc,bornIn,Q286486,Trảng Bàng,1963,,,11.033,106.367
Q3375353,Bùi Tín,bornIn,Q10786490,Liên Bạt,1927,,,20.74972222,105.7722222
Q705682,Hoàng Văn Hoan,bornIn,Q7273055,Quỳnh Lưu,1905,,,19.167,105.667
Q269992,Dương Thu Hương,bornIn,Q36497,Thái Bình,1947,,,20.446111111111,106.34222222222
Q1156162,Anh Thơ,bornIn,Q3031628,Ninh Giang,1921,,,20.75007,106.33329
Q3378039,Phan Huy Lê,bornIn,Q10826143,Thạch Châu,1934,,,18.43888889,105.8930556
Q3015824,Dao Droste,bornIn,Q1854,Thành phố Hồ Chí Minh,1952,,,10.775555555556,106.70194444444
Q10788252,Lưu Hương Giang,bornIn,Q36907,Nam Định,1983,,,20.25,106.25
Q3033236,Đỗ Thị Hải Yến,bornIn,Q33381,Bắc Ninh,1982,,,21.18608,106.07631
Q277943,Trần Đức Dương,bornIn,Q881,Việt Nam,1983,,,16.0,108.0
Q7022885,Nguyễn Ngọc Duy,bornIn,Q1858,Hà Nội,1986,,,21.0245,105.84117
Q313322,Nguyễn Du,bornIn,Q33351,Hà Tĩnh,1766,,,18.333333333333,105.9
Q3302807,Thạch Kim Tuấn,bornIn,Q5643878,Hàm Tân,1994,,,10.770833333333,107.64166666667
Q362337,Nick Út,bornIn,Q10742529,Bình Quới,1951,,,10.508976,106.465387
Q1188670,Fabio dos Santos,bornIn,Q8678,Rio de Janeiro,1977,,,-22.911111111111,-43.205555555556
Q3248362,Lê Quang Đỉnh,bornIn,Q800154,Hà Tiên,1968,,,10.383055555556,104.4875
Q216350,Ngô Bảo Châu,bornIn,Q1858,Hà Nội,1972,,,21.0245,105.84117
Q774982,Đoàn Viết Hoạt,bornIn,Q1077294,Hà Tây,1942,,,20.833333333333,105.66666666667
Q271847,Thích Quảng Đức,bornIn,Q10834109,Vạn Khánh,1897,,,12.76666667,109.3
Q93155,Hàn Thế Thành,bornIn,Q881,Việt Nam,1972,,,16.0,108.0
Q1371547,Stêphanô Nguyễn Như Thể,bornIn,Q36579,Quảng Trị,1935,,,16.75,107.0
Q704833,Cẩm Ly,bornIn,Q1854,Thành phố Hồ Chí Minh,1970,,,10.775555555556,106.70194444444
Q711456,Trần Thánh Tông,bornIn,Q1858,Hà Nội,1240,,,21.0245,105.84117
Q369596,Nông Đức Mạnh,bornIn,Q36404,Bắc Kạn,1940,,,22.25,105.83333333333
Q3017975,Lê Thị Hoàng Ngọc,bornIn,Q36235,Hưng Yên,1982,,,20.816666666667,106.05
Q3248362,Lê Quang Đỉnh,bornIn,Q800154,Hà Tiên,1968,,,10.383333,104.483333
Q967468,Văn Cao,bornIn,Q72818,Hải Phòng,1923,,,20.8,106.66666666667
Q854994,Mạc Thái Tông,bornIn,Q72818,Hải Phòng,1500,,,20.8,106.66666666667
Q1354244,Nguyễn Lộc,bornIn,Q1858,Hà Nội,1912,,,21.0245,105.84117
Q365944,Nguyễn Văn Tâm,bornIn,Q36608,Tây Ninh,1893,,,11.333333333333,106.16666666667
Q1159515,Đặng Ngọc Long,bornIn,Q881,Việt Nam,1957,,,16.0,108.0
Q1329827,Dương Trương Thiên Lý,bornIn,Q36676,Đồng Tháp,1989,,,10.455015,105.633957
Q1601892,Hồ Anh Thái,bornIn,Q1858,Hà Nội,1960,,,21.0245,105.84117
Q10788294,Lưu Văn Lang,bornIn,Q7395508,Sa Đéc,1880,,,10.2843923,105.7039677
Q1354825,Giuse Maria Trịnh Như Khuê,bornIn,Q881,Việt Nam,1898,,,16.0,108.0
Q259091,Thùy Trang,bornIn,Q1854,Thành phố Hồ Chí Minh,1973,,,10.775555555556,106.70194444444
Q3087770,Nguyễn Kim,bornIn,Q36175,Thanh Hóa,1476,,,19.8075,105.77638888889
Q3365133,Nguyễn Hữu An,bornIn,Q5557813,Gia Viễn,1926,,,20.333,105.883
Q1797921,Xuân Thủy,bornIn,Q1858,Hà Nội,1912,,,21.0245,105.84117
Q233969,Lê Đức Thọ,bornIn,Q36413,Hà Nam,1911,,,20.533333333333,105.96666666667
Q705869,Lý Anh Tông,bornIn,Q1858,Hà Nội,1136,,,21.0245,105.84117
Q711416,Trần Minh Tông,bornIn,Q1858,Hà Nội,1300,,,21.0245,105.84117
